file,num_reads,min,max,mean,median,std,variance
/data/pjattke/project_mcsee/1_rowpress/new_data_mm/no_aggr_acts=2-no_reads=1-victimrow=64--00000.csv,1,32.23999999997854,65.60000000003542,48.876247070313234,48.80000000005279,16.514430157243932,272.7264034184879
/data/pjattke/project_mcsee/1_rowpress/new_data_mm/no_aggr_acts=2-no_reads=2-victimrow=64--00000.csv,2,32.07999999999445,70.88000000007952,51.49726551757617,51.47999999996922,19.13746777404575,366.2426728026396
/data/pjattke/project_mcsee/1_rowpress/new_data_mm/no_aggr_acts=2-no_reads=4-victimrow=64--00000.csv,4,37.439999999996715,81.36000000016213,59.37781240234398,59.32000000000268,21.756777184785413,473.3573534683991
/data/pjattke/project_mcsee/1_rowpress/new_data_mm/no_aggr_acts=2-no_reads=8-victimrow=64--00000.csv,8,58.4799999998626,107.76000000005739,82.52937498339912,80.75999999996091,23.883414986254504,570.4175114056462
/data/pjattke/project_mcsee/1_rowpress/new_data_mm/no_aggr_acts=2-no_reads=16-victimrow=64--00000.csv,16,32.160000000000046,162.80000000000462,70.85993751279386,66.0000000000092,35.00578128680554,1225.404723499665
/data/pjattke/project_mcsee/1_rowpress/new_data_mm/no_aggr_acts=2-no_reads=32-victimrow=64--00000.csv,32,32.16000000008136,307.9999999999706,93.3797871875,58.7999999999934,69.17093415158875,4784.618131403427
/data/pjattke/project_mcsee/1_rowpress/new_data_mm/no_aggr_acts=2-no_reads=48-victimrow=64--00000.csv,48,32.15999999997294,480.31999999999067,135.87410403179092,63.760000000015125,125.57993026491262,15770.318885340317
/data/pjattke/project_mcsee/1_rowpress/new_data_mm/no_aggr_acts=2-no_reads=64-victimrow=64--00000.csv,64,32.16000000008136,579.1199999999905,171.9217118334367,58.71999999998781,182.67035723192424,33368.459411238815
/data/pjattke/project_mcsee/1_rowpress/new_data_mm/no_aggr_acts=2-no_reads=80-victimrow=64--00000.csv,80,32.15999999997294,711.2799999999929,204.54766129966453,60.800000000024895,230.16216109119802,52974.62039817059
/data/pjattke/project_mcsee/1_rowpress/new_data_mm/no_aggr_acts=2-no_reads=128-victimrow=64--00000.csv,128,32.15999999997294,1078.2400000000223,292.9505058279982,63.68000000000953,367.53808989994184,135084.24752729773
/data/pjattke/project_mcsee/1_rowpress/new_data_mm/no_aggr_acts=2-no_reads=128-factor=2-victimrow=64--00000.csv,128,32.15999999997294,2043.6000000000088,520.2274252152154,63.92000000002632,723.9016285765488,524033.5678557796
/data/pjattke/project_mcsee/1_rowpress/new_data_mm/no_aggr_acts=2-no_reads=128-factor=3-victimrow=64--00000.csv,128,32.15999999997294,3173.0399999999263,622.1050363358789,63.92000000002632,926.3210385603114,858070.6664794539
/data/pjattke/project_mcsee/1_rowpress/new_data_mm/no_aggr_acts=2-no_reads=128-factor=4-victimrow=64--00000.csv,128,32.15999999997294,4074.6400000000062,694.8695804148816,212.56000000001615,938.7717825256559,881292.4596663973
